NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-09-24;2020-09-30;--;;;0.0000;115;0.0000;1309;4.6620;33;5;0
CATALUNYA;CATALUNYA;2020-09-24;2020-09-30;Si;;;257.0614;166;6027.0069;3892;4.9411;31;0;31
CATALUNYA;CATALUNYA;2020-09-24;2020-09-30;No;182.719;0.987983;88.3363;6720;1609.7067;122455;5.6471;436;85;60
CATALUNYA;CATALUNYA;2020-09-23;2020-09-29;No;179.541;0.961711;89.0067;6771;1602.2797;121890;5.6318;421;81;55
CATALUNYA;CATALUNYA;2020-09-23;2020-09-29;--;;;0.0000;114;0.0000;1337;4.6388;31;2;0
CATALUNYA;CATALUNYA;2020-09-23;2020-09-29;Si;;;199.7646;129;6118.3721;3951;3.9489;38;0;29
CATALUNYA;CATALUNYA;2020-09-22;2020-09-28;Si;;;154.8562;100;6078.1095;3925;2.7770;42;1;23
CATALUNYA;CATALUNYA;2020-09-22;2020-09-28;No;177.039;0.941218;88.0340;6697;1570.4286;119467;5.6802;412;86;48
CATALUNYA;CATALUNYA;2020-09-22;2020-09-28;--;;;0.0000;109;0.0000;1304;4.3580;28;5;0
CATALUNYA;CATALUNYA;2020-09-21;2020-09-27;--;;;0.0000;108;0.0000;1255;4.0420;24;3;0
CATALUNYA;CATALUNYA;2020-09-21;2020-09-27;Si;;;148.6620;96;5625.9291;3633;2.9593;42;1;25
CATALUNYA;CATALUNYA;2020-09-21;2020-09-27;No;176.323;0.942414;88.5992;6740;1549.8431;117901;5.7698;411;81;50
CATALUNYA;CATALUNYA;2020-09-20;2020-09-26;No;178.525;0.951578;89.9006;6839;1559.3340;118623;5.7988;424;83;44
CATALUNYA;CATALUNYA;2020-09-20;2020-09-26;--;;;0.0000;99;0.0000;1236;3.6125;26;5;0
CATALUNYA;CATALUNYA;2020-09-20;2020-09-26;Si;;;157.9534;102;5621.2834;3630;3.2862;42;1;20
CATALUNYA;CATALUNYA;2020-09-19;2020-09-25;No;186.382;0.989852;89.6114;6817;1570.6389;119483;5.7513;424;79;47
CATALUNYA;CATALUNYA;2020-09-19;2020-09-25;--;;;0.0000;96;0.0000;1235;3.6125;28;5;0
CATALUNYA;CATALUNYA;2020-09-19;2020-09-25;Si;;;178.0847;115;5689.4202;3674;3.4315;39;1;25
CATALUNYA;CATALUNYA;2020-09-18;2020-09-24;--;;;0.0000;97;0.0000;1168;3.9965;32;5;0
CATALUNYA;CATALUNYA;2020-09-18;2020-09-24;Si;;;207.5074;134;5816.4023;3756;4.1206;34;1;23
CATALUNYA;CATALUNYA;2020-09-18;2020-09-24;No;206.629;1.14921;91.2283;6940;1550.3952;117943;5.9661;448;77;45
CATALUNYA;CATALUNYA;2020-09-17;2020-09-23;No;228.603;1.23591;96.6047;7349;1591.0799;121038;6.1298;460;78;48
CATALUNYA;CATALUNYA;2020-09-17;2020-09-23;--;;;0.0000;107;0.0000;1163;4.8119;32;6;0
CATALUNYA;CATALUNYA;2020-09-17;2020-09-23;Si;;;210.6045;136;5692.5173;3676;4.4533;31;1;17
CATALUNYA;CATALUNYA;2020-09-16;2020-09-22;No;237.161;1.29053;97.6826;7431;1510.0786;114876;6.5515;470;76;55
CATALUNYA;CATALUNYA;2020-09-16;2020-09-22;--;;;0.0000;111;0.0000;1055;5.5877;34;6;0
CATALUNYA;CATALUNYA;2020-09-16;2020-09-22;Si;;;281.8384;182;5690.9687;3675;5.7397;30;2;15
CATALUNYA;CATALUNYA;2020-09-15;2020-09-21;--;;;0.0000;114;0.0000;1001;5.9184;32;4;0
CATALUNYA;CATALUNYA;2020-09-15;2020-09-21;Si;;;270.9985;175;5402.9360;3489;6.4704;28;1;16
CATALUNYA;CATALUNYA;2020-09-15;2020-09-21;No;238.708;1.30463;100.0619;7612;1453.3829;110563;7.0039;488;63;60
CATALUNYA;CATALUNYA;2020-09-14;2020-09-20;--;;;0.0000;116;0.0000;936;7.3144;40;4;0
CATALUNYA;CATALUNYA;2020-09-14;2020-09-20;Si;;;300.4212;194;5948.0302;3841;6.0903;29;1;19
CATALUNYA;CATALUNYA;2020-09-14;2020-09-20;No;236.975;1.31232;98.4976;7493;1393.2827;105991;7.1276;499;64;60
CATALUNYA;CATALUNYA;2020-09-13;2020-09-19;No;230.444;1.28655;97.7089;7433;1364.1921;103778;7.1939;496;64;61
CATALUNYA;CATALUNYA;2020-09-13;2020-09-19;--;;;0.0000;121;0.0000;931;7.9208;40;4;0
CATALUNYA;CATALUNYA;2020-09-13;2020-09-19;Si;;;362.3637;234;6000.6813;3875;7.0924;25;1;19
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;--;;;0.0000;130;0.0000;922;8.7875;36;5;0
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;Si;;;421.2091;272;5971.2586;3856;8.0378;28;1;15
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;No;224.953;1.25387;98.6817;7507;1329.2782;101122;7.4686;494;65;59
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;--;;;0.0000;114;0.0000;821;8.7173;32;5;0
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;Si;;;374.7522;242;5107.1605;3298;8.2182;29;1;16
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;No;193.791;1.07962;88.5729;6738;1142.2207;86892;7.6784;461;65;58
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;No;179.675;1.0071;88.3626;6722;1138.3691;86599;7.9548;466;67;57
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;--;;;0.0000;109;0.0000;759;9.1521;33;6;0
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;Si;;;371.6551;240;5440.1015;3513;7.4348;32;1;18
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;Si;;;312.8097;202;5748.2656;3712;5.8341;27;0;18
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;No;167.087;0.949561;86.0885;6549;1108.1218;84298;7.9452;462;70;56
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;--;;;0.0000;112;0.0000;833;8.2411;33;6;0
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;--;;;0.0000;118;0.0000;850;8.6435;39;7;0
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;Si;;;322.1010;208;6198.8974;4003;5.2407;23;0;19
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;No;162.011;0.937518;82.9073;6307;1088.7457;82824;7.7636;460;69;54
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;No;160.213;0.930653;82.0792;6244;1083.1458;82398;7.7720;465;73;53
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;--;;;0.0000;125;0.0000;893;7.8857;33;7;0
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;Si;;;277.1927;179;5698.7115;3680;5.3145;27;0;12
CATALUNYA;CATALUNYA;2020-09-06;2020-09-12;Si;;;213.7016;138;5647.6090;3647;4.0887;33;0;18
CATALUNYA;CATALUNYA;2020-09-06;2020-09-12;No;166.245;0.960123;81.4087;6193;1079.4651;82118;7.8252;465;70;49
CATALUNYA;CATALUNYA;2020-09-06;2020-09-12;--;;;0.0000;130;0.0000;890;7.9038;34;5;0
CATALUNYA;CATALUNYA;2020-09-05;2020-09-11;--;;;0.0000;128;0.0000;867;7.5294;37;4;0
CATALUNYA;CATALUNYA;2020-09-05;2020-09-11;Si;;;136.2735;88;5508.2383;3557;3.2658;34;1;18
CATALUNYA;CATALUNYA;2020-09-05;2020-09-11;No;170.989;0.989551;80.7252;6141;1088.0095;82768;7.7152;472;78;54
