NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
ALT CAMP;01;2020-09-24;2020-09-30;No;43.5572;0.733503;18.2715;8;922.7114;404;1.7632;0;0;0
ALT CAMP;01;2020-09-24;2020-09-30;Si;;;198.4126;1;1190.4761;6;16.6667;0;0;0
ALT CAMP;01;2020-09-23;2020-09-29;No;35.4974;0.501361;15.9875;7;899.8720;394;1.2887;0;0;0
ALT CAMP;01;2020-09-23;2020-09-29;Si;;;198.4126;1;1388.8888;7;16.6667;0;0;0
ALT CAMP;01;2020-09-22;2020-09-28;No;20.6331;0.282313;9.1357;4;943.2669;413;0.9852;0;0;0
ALT CAMP;01;2020-09-22;2020-09-28;Si;;;0.0000;0;1190.4761;6;0.0000;0;0;0
ALT CAMP;01;2020-09-21;2020-09-27;No;27.1276;0.329932;18.2715;8;904.4399;396;1.7812;0;0;0
ALT CAMP;01;2020-09-21;2020-09-27;Si;;;0.0000;0;1190.4761;6;0.0000;0;0;0
ALT CAMP;01;2020-09-20;2020-09-26;No;35.8905;0.436508;22.8393;10;902.1560;395;2.2959;0;0;0
ALT CAMP;01;2020-09-20;2020-09-26;Si;;;0.0000;0;1190.4761;6;0.0000;0;0;0
ALT CAMP;01;2020-09-19;2020-09-25;No;52.4969;0.604875;25.1233;11;927.2793;406;2.4814;0;0;0
ALT CAMP;01;2020-09-19;2020-09-25;Si;;;0.0000;0;1190.4761;6;0.0000;0;0;0
ALT CAMP;01;2020-09-18;2020-09-24;No;106.95;1.26559;34.2590;15;1068.8836;468;3.0837;0;0;0
ALT CAMP;01;2020-09-18;2020-09-24;Si;;;0.0000;0;8531.7460;43;0.0000;0;0;0
ALT CAMP;01;2020-09-17;2020-09-23;No;145.846;1.4513;41.1109;18;1091.7230;478;4.1215;1;0;0
ALT CAMP;01;2020-09-17;2020-09-23;Si;;;0.0000;0;8928.5714;45;0.0000;1;0;0
ALT CAMP;01;2020-09-16;2020-09-22;No;168.678;1.60552;54.8145;24;1071.1675;469;5.7650;1;0;0
ALT CAMP;01;2020-09-16;2020-09-22;Si;;;0.0000;0;8531.7460;43;0.0000;1;0;0
ALT CAMP;01;2020-09-15;2020-09-21;No;207.944;1.5973;63.9503;28;986.6617;432;7.2115;1;0;0
ALT CAMP;01;2020-09-15;2020-09-21;Si;;;0.0000;0;8730.1587;44;0.0000;1;0;0
ALT CAMP;01;2020-09-14;2020-09-20;No;218.642;1.56935;63.9503;28;984.3778;431;6.7961;1;0;0
ALT CAMP;01;2020-09-14;2020-09-20;Si;;;198.4126;1;28174.6031;142;0.8621;1;0;0
ALT CAMP;01;2020-09-13;2020-09-19;No;196.287;1.45665;59.3824;26;979.8099;429;6.3415;1;0;0
ALT CAMP;01;2020-09-13;2020-09-19;Si;;;198.4126;1;28174.6031;142;0.8621;1;0;0
ALT CAMP;01;2020-09-12;2020-09-18;No;211.131;1.3206;61.6663;27;956.9705;419;7.5188;1;0;0
ALT CAMP;01;2020-09-12;2020-09-18;Si;;;198.4126;1;28174.6031;142;0.8621;1;0;0
ALT CAMP;01;2020-09-11;2020-09-17;No;110.435;0.711073;50.2466;22;744.5642;326;8.8328;1;0;0
ALT CAMP;01;2020-09-11;2020-09-17;Si;;;198.4126;1;20833.3333;105;0.9615;1;0;0
ALT CAMP;01;2020-09-10;2020-09-16;No;103.054;0.65393;59.3824;26;666.9102;292;9.4406;0;0;0
ALT CAMP;01;2020-09-10;2020-09-16;Si;;;198.4126;1;20436.5079;103;0.9804;0;0;0
ALT CAMP;01;2020-09-09;2020-09-15;No;110.576;0.744839;50.2466;22;648.6387;284;10.4317;0;0;1
